e,M,method,E_root,iterations,|g(E_root)|
0.2,1.0,bisection,1.1853242125512322,29,8.036419529844352e-09
0.2,1.0,newton,1.1853242038613385,4,0.0
0.6,1.0,bisection,1.5997485405879552,29,7.772265275818313e-09
0.6,1.0,newton,1.5997485482275295,5,0.0
0.9,1.0,bisection,1.862086687956222,29,1.3612735383361496e-09
0.9,1.0,newton,1.8620866868745323,6,0.0
