iter,x_n,f(x_n),f'(x_n),dx,rel_err
1,0.0,-5.0,14.0,-0.35714285714285715,1.0
2,0.35714285714285715,-0.8473032069970845,9.38265306122449,-0.090305290142158,0.20182291666666666
3,0.44744814728501514,-0.04761132557765535,8.336355471536166,-0.005711287833180878,0.012603263643161756
4,0.453159435118196,-0.00018435968901364674,8.271828329255182,-2.228765898847504e-05,4.918040130103216e-05
5,0.4531817227771845,-2.801860077283891e-09,8.271576902697308,-3.3873348579642923e-10,7.474561936598348e-10
